,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
80,000300.SH,20180830,3351.0942,3385.8052,3402.5626,3349.4688,3386.5736,-35.4794,-1.0476,68385290.0,80226052.652
81,000300.SH,20180829,3386.5736,3393.0527,3398.7139,3377.1231,3400.1705,-13.5969,-0.3999,67020404.0,79072300.213
82,000300.SH,20180828,3400.1705,3408.1502,3416.5929,3388.8143,3406.5735,-6.403,-0.188,75445363.0,94945949.81
83,000300.SH,20180827,3406.5735,3339.3894,3406.5735,3339.2646,3325.3347,81.2388,2.443,94270082.0,114960964.551
84,000300.SH,20180824,3325.3347,3308.4778,3353.0445,3291.8654,3320.0257,5.309,0.1599,63765897.0,77197847.852
85,000300.SH,20180823,3320.0257,3308.4589,3336.1123,3285.8141,3307.9545,12.0712,0.3649,61112334.0,80212785.558
86,000300.SH,20180822,3307.9545,3328.9693,3328.9693,3299.3938,3326.6489,-18.6944,-0.562,50787057.0,66548536.184
87,000300.SH,20180821,3326.6489,3271.8402,3331.7077,3270.0302,3267.2498,59.3991,1.818,75205583.0,97925840.442
88,000300.SH,20180820,3267.2498,3238.215,3267.2498,3209.0115,3229.6198,37.63,1.1652,70904228.0,88963382.602
89,000300.SH,20180817,3229.6198,3305.8954,3311.5729,3224.0999,3276.7276,-47.1078,-1.4376,67395413.0,84452452.538
90,000300.SH,20180816,3276.7276,3251.8556,3315.2031,3231.5561,3291.976,-15.2484,-0.4632,76547366.0,89269175.663
91,000300.SH,20180815,3291.976,3371.959,3372.1369,3288.7088,3372.9137,-80.9377,-2.3996,68174055.0,83402193.917
92,000300.SH,20180814,3372.9137,3386.4832,3391.729,3356.6142,3390.3441,-17.4304,-0.5141,60651446.0,72121992.61
93,000300.SH,20180813,3390.3441,3369.9812,3396.1883,3336.6956,3405.0191,-14.675,-0.431,76191532.0,90869290.864
94,000300.SH,20180810,3405.0191,3398.4139,3424.0411,3380.5731,3397.5298,7.4893,0.2204,68967299.0,85634522.136
95,000300.SH,20180809,3397.5298,3303.4765,3408.3911,3299.6157,3314.5075,83.0223,2.5048,91957572.0,108802315.182
96,000300.SH,20180808,3314.5075,3362.1485,3368.1602,3311.7694,3368.8695,-54.362,-1.6137,79284865.0,90958912.013
97,000300.SH,20180807,3368.8695,3284.9785,3368.962,3263.4986,3273.2728,95.5967,2.9205,91783916.0,107512223.951
98,000300.SH,20180806,3273.2728,3312.8153,3344.246,3257.6856,3315.2839,-42.0111,-1.2672,77975083.0,97517991.022
99,000300.SH,20180803,3315.2839,3366.6637,3381.3417,3315.2008,3370.9579,-55.674,-1.6516,70796910.0,91395987.151
100,000300.SH,20180802,3370.9579,3434.3516,3434.3516,3322.096,3447.3882,-76.4303,-2.217,101308727.0,122401283.623
101,000300.SH,20180801,3447.3882,3530.0298,3543.606,3446.7765,3517.6568,-70.2686,-1.9976,90348617.0,107477214.866
102,000300.SH,20180731,3517.6568,3510.4744,3528.154,3493.1545,3515.0794,2.5774,0.0733,67980817.0,80022152.109
103,000300.SH,20180730,3515.0794,3520.8538,3550.902,3489.5494,3521.2269,-6.1475,-0.1746,82116995.0,96183097.601
104,000300.SH,20180727,3521.2269,3533.7714,3545.4058,3512.7034,3536.2456,-15.0187,-0.4247,70178104.0,81192174.902
105,000300.SH,20180726,3536.2456,3583.3173,3593.9227,3528.6442,3577.7522,-41.5066,-1.1601,90349641.0,105577285.189
106,000300.SH,20180725,3577.7522,3589.5055,3589.9841,3566.314,3581.7057,-3.9535,-0.1104,96758501.0,112176694.173
107,000300.SH,20180724,3581.7057,3530.6641,3596.5128,3530.6641,3525.7503,55.9554,1.587,156912435.0,177448954.019
108,000300.SH,20180723,3525.7503,3471.8555,3527.5335,3464.6475,3492.8938,32.8565,0.9407,119036627.0,143960930.682
109,000300.SH,20180720,3492.8938,3426.4558,3505.928,3398.9532,3428.343,64.5508,1.8829,101984727.0,122196953.815
110,000300.SH,20180719,3428.343,3444.8032,3466.5056,3417.9627,3431.3227,-2.9797,-0.0868,68477716.0,88804907.805
111,000300.SH,20180718,3431.3227,3456.6065,3479.2635,3430.1563,3449.3773,-18.0546,-0.5234,66530330.0,88556873.195
112,000300.SH,20180717,3449.3773,3466.4236,3467.1852,3420.9714,3472.0859,-22.7086,-0.654,61983076.0,85720563.654
113,000300.SH,20180716,3472.0859,3488.967,3506.2355,3459.7312,3492.6897,-20.6038,-0.5899,68281999.0,90754288.081
114,000300.SH,20180713,3492.6897,3488.4966,3499.7643,3474.9123,3481.0559,11.6338,0.3342,72955897.0,99800184.924
115,000300.SH,20180712,3481.0559,3403.3302,3499.097,3403.3302,3407.5297,73.5262,2.1578,96353564.0,117805514.793
116,000300.SH,20180711,3407.5297,3398.9265,3427.5705,3375.1441,3467.5155,-59.9858,-1.7299,72040950.0,89661507.129
117,000300.SH,20180710,3467.5155,3464.9064,3474.1396,3437.2706,3459.1837,8.3318,0.2409,69548823.0,90127445.728
118,000300.SH,20180709,3459.1837,3378.9056,3459.3153,3378.9056,3365.1227,94.061,2.7952,76601545.0,100918863.679
119,000300.SH,20180706,3365.1227,3347.0624,3396.2458,3295.7296,3342.4379,22.6848,0.6787,86097579.0,109481942.501
120,000300.SH,20180705,3342.4379,3365.5547,3398.4852,3330.7113,3363.7473,-21.3094,-0.6335,81587981.0,97544619.59
121,000300.SH,20180704,3363.7473,3398.7788,3418.3311,3359.0861,3409.2801,-45.5328,-1.3356,75157997.0,93648559.089
122,000300.SH,20180703,3409.2801,3410.4767,3422.0398,3319.2889,3407.9638,1.3163,0.0386,95278693.0,129898019.347
123,000300.SH,20180702,3407.9638,3504.4571,3506.8996,3383.5006,3510.9845,-103.0207,-2.9342,84351449.0,107601540.659
124,000300.SH,20180629,3510.9845,3431.9619,3512.3834,3425.2159,3423.5255,87.459,2.5546,77257031.0,97616367.299
