trade_date,000001.SZ,000002.SZ
20170911,11.38,25.28
20170912,11.54,25.26
20170913,11.43,25.76
20170914,11.32,27.56
20170915,11.29,29.3
20170918,11.25,28.04
20170919,11.13,28.77
20170920,11.29,28.73
20170921,11.46,28.4
20170922,11.44,27.81
20170925,11.29,26.12
20170926,11.05,26.76
20170927,10.93,26.84
20170928,10.88,26.41
20170929,11.11,26.25
20171009,11.3,26.47
20171010,11.47,26.59
20171011,11.53,26.87
20171012,11.55,27.1
20171013,11.36,26.93
20171016,11.59,26.31
20171017,11.51,26.21
20171018,11.69,26.43
20171019,11.63,26.05
20171020,11.48,26.16
20171023,11.19,25.93
20171024,11.39,27.0
20171025,11.27,27.43
20171026,11.18,27.53
20171027,11.56,27.5
20171030,11.56,28.98
20171031,11.54,28.96
20171101,11.4,29.15
20171102,11.54,29.45
20171103,11.39,28.19
20171106,11.28,27.46
20171107,11.92,27.85
20171108,12.13,27.64
20171109,12.33,27.67
20171110,12.3,27.51
20171113,12.9,27.06
20171114,12.95,28.5
20171115,12.9,28.44
20171116,13.1,28.94
20171117,13.18,28.9
20171120,14.25,28.9
20171121,14.45,31.79
20171122,15.1,32.5
20171123,14.35,31.3
20171124,14.56,31.8
20171127,13.93,31.52
20171128,13.7,30.75
20171129,13.82,33.82
20171130,13.38,31.22
20171201,13.0,30.73
20171204,13.3,30.85
20171205,13.3,31.03
20171206,13.08,30.77
20171207,12.83,29.95
20171208,13.09,29.82
20171211,13.5,29.93
20171212,13.02,29.57
20171213,13.13,29.94
20171214,13.0,30.11
20171215,12.72,29.11
20171218,12.75,28.46
20171219,13.28,29.16
20171220,13.26,28.6
20171221,13.54,29.72
20171222,13.52,29.85
20171225,13.25,30.37
20171226,13.66,30.5
20171227,13.29,30.79
20171228,13.21,30.7
20171229,13.3,31.06
20180102,13.7,32.56
20180103,13.33,32.33
20180104,13.25,33.12
20180105,13.3,34.76
20180108,12.96,35.99
20180109,13.08,35.84
20180110,13.47,35.67
20180111,13.4,35.15
20180112,13.55,35.55
20180115,14.2,37.09
20180116,14.2,40.2
20180117,14.23,39.77
20180118,14.72,39.76
20180119,14.8,39.42
20180122,14.44,39.53
20180123,14.65,40.98
20180124,14.64,41.13
20180125,14.2,40.2
20180126,14.05,40.04
20180129,13.74,38.57
20180130,13.65,36.36
20180131,14.05,37.56
20180201,14.03,37.5
20180202,14.05,37.38
20180205,14.55,36.99
20180206,14.0,35.82
20180207,12.92,32.98
20180208,12.54,32.75
20180209,11.69,31.27
20180212,11.72,31.9
20180213,11.94,32.73
20180214,12.0,33.17
20180222,12.46,33.7
20180223,12.61,34.72
20180226,12.63,34.18
20180227,12.28,32.9
20180228,12.05,32.7
20180301,12.04,32.41
20180302,11.95,32.28
20180305,11.86,32.18
20180306,12.1,33.67
20180307,12.05,32.9
20180308,12.11,33.64
20180309,12.09,33.46
20180312,12.03,32.62
20180313,12.02,32.48
20180314,11.92,32.7
20180315,11.71,32.66
20180316,11.64,32.63
20180319,11.83,31.58
20180320,11.82,31.34
20180321,11.9,31.66
20180322,11.66,31.18
20180323,11.34,31.07
20180326,10.93,30.33
20180327,10.94,31.02
20180328,10.89,31.33
20180329,11.05,34.16
20180330,10.9,33.29
20180402,10.71,33.49
20180403,10.56,33.64
20180404,10.87,32.8
20180409,11.02,31.62
20180410,11.42,32.18
20180411,11.83,32.61
20180412,11.52,31.85
20180413,11.57,31.25
20180416,11.1,30.03
20180417,11.21,29.92
20180418,11.5,30.04
20180419,11.47,30.23
20180420,11.35,30.15
20180423,11.57,29.91
20180424,11.86,30.93
20180425,11.68,30.12
20180426,11.42,28.5
20180427,10.85,28.4
20180502,10.88,27.68
20180503,10.75,27.33
20180504,10.68,26.91
20180507,10.81,27.38
20180508,11.01,28.69
20180509,10.97,28.2
20180510,11.01,28.07
20180511,11.01,27.94
20180514,11.18,27.94
20180515,11.12,27.75
20180516,10.9,27.23
20180517,10.82,26.79
20180518,10.96,27.15
20180521,10.95,27.07
20180522,10.86,26.72
20180523,10.65,26.8
20180524,10.61,26.65
20180525,10.59,26.39
20180528,10.59,26.5
20180529,10.38,25.6
20180530,10.08,24.64
20180531,10.18,25.59
20180601,10.19,26.0
20180604,10.27,27.3
20180605,10.26,27.49
20180606,10.14,26.99
20180607,10.37,27.39
20180608,10.12,26.71
20180611,10.04,27.31
20180612,10.06,27.71
20180613,9.95,27.64
20180614,10.07,27.37
20180615,10.17,27.99
20180619,9.87,27.1
20180620,9.91,26.96
20180621,9.86,27.73
20180622,9.85,28.1
20180625,9.46,26.49
20180626,9.36,25.54
20180627,9.09,24.22
20180628,8.92,23.88
20180629,9.09,24.6
20180702,8.61,22.8
20180703,8.67,23.42
20180704,8.61,23.0
20180705,8.6,23.05
20180706,8.66,23.21
